BLDG_NAME,ZIPCODE,SCH_NAME,SCH_TYPE,Location,Latitude,Longitude
Mckinley Mackey Bldg,2116,McKinley So. End Acad,Special,"90 Warren Avenue
Boston, MA 02116
(42.344499341647236, -71.07359730894547)",42.3444993416,-71.0735973089
Hurley Bldg,2118,Hurley Elementary,K-8,"70 Worcester Street
Boston, MA 02118
(42.33917608244011, -71.07783281457425)",42.3391760824,-71.0778328146
Blackstone Bldg,2118,Blackstone Elementary,ES,"380 Shawmut Avenue
Boston, MA 02118
(42.340002731500704, -71.07395703775717)",42.3400027315,-71.0739570378
Mason Bldg,2119,Mason Elementary,ES,"150 Norfolk Avenue
Roxbury, MA 02119
(42.32634848514348, -71.07087371277584)",42.3263484851,-71.0708737128
Clap Bldg,2125,Clap Elementary,ES,"35 Harvest Street
Dorchester, MA 02125
(42.32305512278933, -71.05827128016072)",42.3230551228,-71.0582712802
Perkins Bldg,2127,Perkins Elementary,ES,"50 Burke Street
South Boston, MA 02127
(42.331027909165584, -71.05058287588075)",42.3310279092,-71.0505828759
South Boston Ed. Bldg,2127,Excel High,HS,"95 G Street
South Boston, MA 02127
(42.33288010102865, -71.04418947858738)",42.332880101,-71.0441894786
South Boston Ed. Bldg,2127,Boston Green Academy,HS,"95 G Street
South Boston, MA 02127
(42.33288010102865, -71.04418947858738)",42.332880101,-71.0441894786
Tynan Bldg,2127,Tynan Elementary,ES,"650 E. Fourth Street
South Boston, MA 02127
(42.33478931626169, -71.03843569897761)",42.3347893163,-71.038435699
Perry Bldg,2127,Perry K-8,K-8,"745 E. Seventh Street
South Boston, MA 02127
(42.33233334449332, -71.03030006532613)",42.3323333445,-71.0303000653
Russell Bldg,2125,Russell Elementary,ES,"750 Columbia Road
Dorchester, MA 02125
(42.32006500285939, -71.0597203689021)",42.3200650029,-71.0597203689
Orchard Gardens K-8,2119,Orchard Gardens K-8,K-8,"906 Albany Street
Roxbury, MA 02119
(42.33033533762743, -71.07822289309473)",42.3303353376,-71.0782228931
Dearborn Bldg,2119,Dearborn Middle,MS,"35 Greenville Street
Roxbury, MA 02119
(42.32616216546978, -71.08038719026666)",42.3261621655,-71.0803871903
West Roxbury Ed. Bldg,2132,West Roxbury Academy,HS,"1205 V.F.W. Parkway
West Roxbury, MA 02132
(42.27822999981481, -71.15878999955868)",42.2782299998,-71.1587899996
Gavin Bldg,2127,Middle School Academy,Special,"215 Dorchester Street
South Boston, MA 02127
(42.33338761510174, -71.05025030572995)",42.3333876151,-71.0502503057
Gavin Bldg,2127,UP Academy,MS,"215 Dorchester Street
South Boston, MA 02127
(42.33338761510174, -71.05025030572995)",42.3333876151,-71.0502503057
Wheatley Bldg,2119,Boston Evening Academy,Special,"20 Kearsage Avenue
Roxbury, MA 02119
(42.32383000005461, -71.0855000003246)",42.3238300001,-71.0855000003
Carter Center Bldg,2118,Carter Center,Special,"396 Northampton Street
Roxbury, MA 02118
(42.340120185922935, -71.08406795278779)",42.3401201859,-71.0840679528
Madison Park Bldg #1,2120,Madison Park High,HS,"75 Malcolm X Blvd
Roxbury, MA 02120
(42.33130553352856, -71.09167804257322)",42.3313055335,-71.0916780426
Madison Park Bldg #3 - O'Bryant,2120,O'Bryant Math & Sci.,6th-12,"55 Malcolm X Blvd
Roxbury, MA 02120
(42.33080266714097, -71.08861598683478)",42.3308026671,-71.0886159868
Timilty Bldg,2119,Timilty Middle,MS,"205 Roxbury Street
Roxbury, MA 02119
(42.33016414850016, -71.09106214275448)",42.3301641485,-71.0910621428
Hale Bldg,2119,Hale Elementary,ES,"51 Cedar Street
Roxbury, MA 02119
(42.32510468708415, -71.09094395274691)",42.3251046871,-71.0909439527
Lewis Bldg,2119,Higginson/Lewis K-8,K-8,"131 Walnut Avenue
Roxbury, MA 02119
(42.32099106380133, -71.08594500040778)",42.3209910638,-71.0859450004
Blue Hill Ave Eec Bldg,2119,Haynes EEC,ELC,"263 Blue Hill Ave
Roxbury, MA 02119
(42.315410752522894, -71.07848099089243)",42.3154107525,-71.0784809909
Trotter Bldg,2121,Trotter Elementary,ES,"135 Humboldt Avenue
Dorchester, MA 02121
(42.3153547643682, -71.08781158305847)",42.3153547644,-71.0878115831
Boston Latin Academy Bldg,2121,Boston Latin Academy,6th-12,"205 Townsend Street
Boston, MA 02121
(42.31671029094184, -71.08542339363078)",42.3167102909,-71.0854233936
Ellis Bldg,2119,Ellis Elementary,ES,"302 Walnut Avenue
Roxbury, MA 02119
(42.3165135808906, -71.09314406776761)",42.3165135809,-71.0931440678
Winthrop Bldg,2125,Winthrop Elementary,ES,"35 Brookford Street
Dorchester, MA 02125
(42.31837317323726, -71.07556583274686)",42.3183731732,-71.0755658327
King Bldg,2121,King K-8,K-8,"77 Lawrence Avenue
Dorchester, MA 02121
(42.31152120283281, -71.07621433605073)",42.3115212028,-71.0762143361
Frederick Middle,2121,Frederick Pilot Middle,MS,"270 Columbia Road
Dorchester, MA 02121
(42.30875264264692, -71.07467902522195)",42.3087526426,-71.0746790252
Holland Bldg,2121,Holland Elementary,ES,"85 Olney Street
Dorchester, MA 02121
(42.305504432349665, -71.07292403616798)",42.3055044323,-71.0729240362
Mather Bldg,2122,Mather Elementary,ES,"1 Parish Street
Dorchester, MA 02122
(42.307922034764694, -71.06258964420758)",42.3079220348,-71.0625896442
Cleveland Bldg,2122,Harbor School,MS,"11 Charles Street
Dorchester, MA 02122
(42.300657414511114, -71.0612289865104)",42.3006574145,-71.0612289865
Marshall Bldg,2124,Marshall Elementary,ES,"35 Westville Street
Dorchester, MA 02124
(42.300070676873446, -71.07090008361331)",42.3000706769,-71.0709000836
Ohearn Bldg,2122,Henderson Elementary,ES,"1669 Dorchester Avenue
Dorchester, MA 02122
(42.293640257317314, -71.06218170226815)",42.2936402573,-71.0621817023
Murphy Bldg,2122,Murphy K-8,K-8,"1 Worrell Street
Dorchester, MA 02122
(42.29468995419834, -71.05005749201418)",42.2946899542,-71.050057492
Kenny Bldg,2122,Kenny Elementary,ES,"19 Oakton Avenue
Dorchester, MA 02122
(42.28667113036399, -71.05353407142158)",42.2866711304,-71.0535340714
Wilson Bldg,2124,Dorchester Academy,HS,"18 Croftland Avenue
Dorchester, MA 02124
(42.281020622561364, -71.06963945065642)",42.2810206226,-71.0696394507
Taylor Bldg,2126,Taylor Elementary,ES,"1060 Morton Street
Mattapan, MA 02126
(42.27745717490273, -71.0776090747091)",42.2774571749,-71.0776090747
Thompson Bldg,2124,Boston International HS,Special,"100 Maxwell Street
Dorchester, MA 02124
(42.28160975213825, -71.08065698687545)",42.2816097521,-71.0806569869
Thompson Bldg,2124,Newcomers Academy,Special,"100 Maxwell Street
Dorchester, MA 02124
(42.28160975213825, -71.08065698687545)",42.2816097521,-71.0806569869
Mildred Avenue Bldg,2126,Mildred Avenue K-8,K-8,"5 Mildred Avenue
Mattapan, MA 02126
(42.275681819508414, -71.09201993902776)",42.2756818195,-71.092019939
Dorchester Ed. Bldg #1 - Main,2124,TechBoston Academy,6th-12,"9 Peacevale Road
Dorchester, MA 02124
(42.287968441354764, -71.07678053840408)",42.2879684414,-71.0767805384
Lee Bldg,2124,Lee Elementary,K-8,"155 Talbot Avenue
Dorchester, MA 02124
(42.292509838914825, -71.0799995461606)",42.2925098389,-71.0799995462
Lee Bldg,2124,Lee Academy,K-8,"155 Talbot Avenue
Dorchester, MA 02124
(42.292509838914825, -71.0799995461606)",42.2925098389,-71.0799995462
Holmes Bldg,2124,Holmes Elementary,ES,"40 School Street
Dorchester, MA 02124
(42.296775923738565, -71.07533564431431)",42.2967759237,-71.0753356443
Lewenberg Bldg,2126,Young Achievers K-8,K-8,"20 Outlook Road
Mattapan, MA 02126
(42.28194771120152, -71.093956683085)",42.2819477112,-71.0939566831
Mattahunt Bldg,2126,Mattahunt Elementary,ES,"100 Hebron Street
Mattapan, MA 02126
(42.27419091928787, -71.10613888078164)",42.2741909193,-71.1061388808
Chittick Bldg,2126,Chittick Elementary,ES,"154 Ruskindale Road
Mattapan, MA 02126
(42.26703174204334, -71.10476781048101)",42.267031742,-71.1047678105
Greenwood  E Bldg,2136,Greenwood Elihu Elem,ES,"612 Metropolitan Avenue
Hyde Park, MA 02136
(42.265367996289115, -71.11803281041318)",42.2653679963,-71.1180328104
Cleveland Bldg,2136,Comm Acad Sci Health,HS,"11 Charles Street
Hyde Park, MA 02136
(42.25121266754792, -71.1319812950876)",42.2512126675,-71.1319812951
Philbrick Bldg,2131,Philbrick Elementary,ES,"40 Philbrick Street
Roslindale, MA 02131
(42.285413884322224, -71.11799683753202)",42.2854138843,-71.1179968375
Haley Bldg,2131,Haley Elementary,ES,"570 American Legion Highway
Roslindale, MA 02131
(42.286744880925596, -71.10811328842999)",42.2867448809,-71.1081132884
Parkman Bldg,2130,BTU K-8 Pilot,K-8,"25 Walk Hill Street
Jamaica Plain, MA 02130
(42.294622941902276, -71.11546974262967)",42.2946229419,-71.1154697426
Rogers Bldg,2136,Rogers Middle,MS,"15 Everett Street
Hyde Park, MA 02136
(42.25748094209217, -71.12195385446091)",42.2574809421,-71.1219538545
Roosevelt Bldg,2136,Roosevelt Upper (2-7),K-8,"95 Needham Road
Hyde Park, MA 02136
(42.24251265602954, -71.12336871211612)",42.242512656,-71.1233687121
Channing Bldg,2136,Channing Elementary,ES,"35 Sunnyside Street
Hyde Park, MA 02136
(42.25135655907263, -71.1330245086416)",42.2513565591,-71.1330245086
Grew Bldg,2136,Grew Elementary,ES,"40 Gordon Avenue
Hyde Park, MA 02136
(42.25712121328041, -71.12685515952063)",42.2571212133,-71.1268551595
Conley Bldg,2131,Conley Elementary,ES,"450 Poplar Street
Roslindale, MA 02131
(42.27507168098526, -71.12702603070619)",42.275071681,-71.1270260307
Irving Bldg,2131,Irving Middle,MS,"105 Cummins Highway
Roslindale, MA 02131
(42.28388503687239, -71.12452591546474)",42.2838850369,-71.1245259155
Sumner Bldg,2131,Sumner Elementary,ES,"15 Basile Street
Roslindale, MA 02131
(42.28662796906178, -71.12666630189449)",42.2866279691,-71.1266663019
Fuller Bldg,2130,Community Academy,Special,"25 Glen Road
Jamaica Plain, MA 02130
(42.30911101979427, -71.10351775286028)",42.3091110198,-71.1035177529
Hernandez Bldg,2119,Hernandez K-8,K-8,"61 School Street
Roxbury, MA 02119
(42.313811081021406, -71.09821569596275)",42.313811081,-71.098215696
English Hs Bldg,2130,English High,HS,"144 Mcbride Street
Jamaica Plain, MA 02130
(42.30573856218439, -71.10932737316955)",42.3057385622,-71.1093273732
Mendell Bldg,2119,Mendell Elementary,ES,"164 School Street
Roxbury, MA 02119
(42.31661136551861, -71.10115253592323)",42.3166113655,-71.1011525359
Kennedy  J  Bldg,2130,Kennedy John F Elemen,ES,"7 Bolster Street
Jamaica Plain, MA 02130
(42.321883715297524, -71.10619603536286)",42.3218837153,-71.1061960354
Hennigan Bldg,2130,West Zone ELC,ELC,"200 Heath Street
Jamaica Plain, MA 02130
(42.32623411123217, -71.10595491555966)",42.3262341112,-71.1059549156
Tobin Bldg,2120,Tobin K-8,K-8,"40 Smith Street
Roxbury, MA 02120
(42.33341070102597, -71.09806786136272)",42.333410701,-71.0980678614
Boston Latin School Bldg,2115,Boston Latin School,6th-12,"78 Avenue Louis Pasteur
Boston, MA 02115
(42.33816811456097, -71.10240259354396)",42.3381681146,-71.1024025935
Health Careers Academy,2115,Kennedy Health Careers Acad,HS,"100 The Fenway
Boston, MA 02115
(42.3438499996779, -71.08983000035408)",42.3438499997,-71.0898300004
Ipswich St Bldg,2215,Fenway High,HS,"174 Ipswich Street
Boston, MA 02215
(42.34659811860869, -71.09491375534215)",42.3465981186,-71.0949137553
Ipswich St Bldg,2215,Boston Arts Academy,HS,"174 Ipswich Street
Boston, MA 02215
(42.34659811860869, -71.09491375534215)",42.3465981186,-71.0949137553
Mckinley Peterborough Bldg,2215,McKinley Prep High Sch,Special,"97 Peterborough Street
Boston, MA 02215
(42.34322657694314, -71.09932544590663)",42.3432265769,-71.0993254459
Mckinley St Mary'S St Bldg,2215,McKinley Middle,Special,"50 St. Mary Street
Boston, MA 02215
(42.34785381281654, -71.10699812911366)",42.3478538128,-71.1069981291
Curley  J.  Bldg,2130,Curley Lower (K1-5),K-8,"40 Pershing Road
Jamaica Plain, MA 02130
(42.31902723821159, -71.11351072913165)",42.3190272382,-71.1135107291
Curley  Mary  Bldg,2130,Curley Upper (6-8),K-8,"493 Centre Street
Jamaica Plain, MA 02130
(42.31836504347575, -71.11247500027213)",42.3183650435,-71.1124750003
Manning Bldg,2130,Manning Elementary,ES,"130 Louders Lane
Jamaica Plain, MA 02130
(42.305792521506135, -71.13100103407567)",42.3057925215,-71.1310010341
Bates Bldg,2131,Bates Elementary,ES,"426 Beech Street
Roslindale, MA 02131
(42.277355958939665, -71.13545267812071)",42.2773559589,-71.1354526781
Mozart Bldg,2131,Mozart Elementary,ES,"236 Beech Street
Roslindale, MA 02131
(42.281043179259825, -71.14121733232855)",42.2810431793,-71.1412173323
Russett Road Bldg,2132,Kilmer Upper (4-8),K-8,"140 Russett Road
West Roxbury, MA 02132
(42.29269446472251, -71.15213838396573)",42.2926944647,-71.152138384
Beethoven Bldg,2132,Beethoven Elementary,ES,"5125 Washington Street
West Roxbury, MA 02132
(42.26341646748551, -71.15502192547831)",42.2634164675,-71.1550219255
Kilmer Bldg,2132,Kilmer Lower (K1-3),K-8,"35 Baker Street
West Roxbury, MA 02132
(42.271608539572284, -71.16306812498556)",42.2716085396,-71.163068125
West Roxbury Ed. Bldg,2132,Urban Science Academy,HS,"1205 V.F.W. Parkway
West Roxbury, MA 02132
(42.27822999981481, -71.15878999955868)",42.2782299998,-71.1587899996
Shaw  R.G.  Bldg,2132,Lyndon K-8,K-8,"20 Mt. Vernon Street
West Roxbury, MA 02132
(42.28319255890983, -71.15834941698671)",42.2831925589,-71.158349417
Edison Bldg,2135,Edison K-8,K-8,"60 Glenmont Road
Brighton, MA 02135
(42.345812351810025, -71.16032792545116)",42.3458123518,-71.1603279255
Lyon  Mary  Bldg,2135,Lyon K-8,K-8,"50 Beechcroft Street
Brighton, MA 02135
(42.351055399240806, -71.1611732881587)",42.3510553992,-71.1611732882
Garfield Bldg,2135,Lyon, Mary 9-12,"95 Beechcroft Street
Brighton, MA 02135
(42.352107606015124, -71.1610653695152)",42.352107606,-71.1610653695
Winship Bldg,2135,Winship Elementary,ES,"54 Dighton Street
Brighton, MA 02135
(42.34750446372793, -71.15435282550314)",42.3475044637,-71.1543528255
Taft Bldg,2135,Another Course to College,HS,"20 Warren Street
Brighton, MA 02135
(42.34995822636506, -71.14567796959386)",42.3499582264,-71.1456779696
Brighton High School Bldg,2135,Brighton High,HS,"25 Warren Street
Brighton, MA 02135
(42.349661450095425, -71.14414012892377)",42.3496614501,-71.1441401289
Baldwin Bldg,2135,Baldwin ELPA,ELC,"121 Corey Road
Brighton, MA 02135
(42.34210714504928, -71.14073169843272)",42.342107145,-71.1407316984
Jackson Mann Bldg,2134,Horace Mann,Special,"40 Armington Street
Allston, MA 02134
(42.352368409403596, -71.13781789505776)",42.3523684094,-71.1378178951
Jackson Mann Bldg,2134,Jackson/Mann K-8,K-8,"40 Armington Street
Allston, MA 02134
(42.352368409403596, -71.13781789505776)",42.3523684094,-71.1378178951
Hyde Park EC,2136,New Mission High,HS,"655 Metropolitan Ave
Hyde Park, MA 02136
(42.263092711554975, -71.11734932567094)",42.2630927116,-71.1173493257
Gardner Bldg,2134,Gardner Elementary,K-8,"30 Athol Street
Allston, MA 02134
(42.360597205971715, -71.13443644422762)",42.360597206,-71.1344364442
Ohrenberger Bldg,2132,Ohrenberger Elementary,K-8,"175 West Boundary Road
West Roxbury, MA 02132
(42.262601300231715, -71.14670644906542)",42.2626013002,-71.1467064491
Everett Bldg,2125,Everett Elementary,ES,"71 Pleasant Street
Dorchester, MA 02125
(42.31411775610312, -71.05989955788655)",42.3141177561,-71.0598995579
Shaw  P.A. Bldg,2124,Boston Adult Tech Acad,Special,"429 Norfolk Street
Dorchester, MA 02124
(42.28167303810778, -71.08699911763809)",42.2816730381,-71.0869991176
Greenwood  S Bldg,2121,Greenwood Sarah K-8,K-8,"189 Glenway Street
Dorchester, MA 02121
(42.29657447070582, -71.08053108179138)",42.2965744707,-71.0805310818
Burke High School Bldg,2121,Burke High,HS,"60 Washington Street
Dorchester, MA 02121
(42.306592918112244, -71.08185308517443)",42.3065929181,-71.0818530852
Dever Bldg,2125,Dever Elementary,ES,"325 Mt. Vernon Street
Dorchester, MA 02125
(42.31775350449584, -71.0420850650388)",42.3177535045,-71.042085065
Mccormack Bldg,2125,McCormack Middle,MS,"315 Mt. Vernon Street
Dorchester, MA 02125
(42.31838302991633, -71.04390169553801)",42.3183830299,-71.0439016955
Condon Bldg,2127,Condon Elementary,ES,"200 D Street
South Boston, MA 02127
(42.33779939252895, -71.05207653278433)",42.3377993925,-71.0520765328
New Roosevelt Bldg,2136,Roosevelt K-8 (K1-1),K-8,"30 Millstone Road
Hyde Park, MA 02136
(42.23373884051864, -71.13334826457213)",42.2337388405,-71.1333482646
Bradley Bldg,2128,Bradley Elementary,ES,"110 Beachview Road
East Boston, MA 02128
(42.3911310572244, -71.00418092543177)",42.3911310572,-71.0041809254
Hennigan Bldg,2130,Hennigan Elementary,ES,"200 Heath Street
Jamaica Plain, MA 02130
(42.32623411123217, -71.10595491555966)",42.3262341112,-71.1059549156
Mattapan Eec Bldg,2126,Ellison/ Parks ELC,ELC,"108 Babson Street
Mattapan, MA 02126
(42.27218485727121, -71.09198844444467)",42.2721848573,-71.0919884444
Greater Egleston High,2119,Greater Egleston High,HS,"80 School Street
Roxbury, MA 02119
(42.31434028136342, -71.09922606726064)",42.3143402814,-71.0992260673
Dorchester Ed. Bldg #1 - Main,2124,TechBoston Acad Lower (6-9),6th-12,"9 Peacevale Road
Dorchester, MA 02124
(42.287968441354764, -71.07678053840408)",42.2879684414,-71.0767805384
Agassiz Building,2130,Mission Hill K-8,K-8,"20 Child St
Jamaica Plain, MA 02130
(42.30682674183987, -71.1136441189102)",42.3068267418,-71.1136441189
Agassiz Building,2130,Margarita Muniz Academy,HS,"20 Child St
Jamaica Plain, MA 02130
(42.30682674183987, -71.1136441189102)",42.3068267418,-71.1136441189
Emerson Building,2119,Dudley Street Neighborhood Charter School,ES,"6 Shirley St
Roxbury, MA 02119
(42.32332930107748, -71.07288684454232)",42.3233293011,-71.0728868445
Farragut Building,2115,Kennedy Health Careers Academy,HS,"10 Fernwood Road
Jamaica Plain, MA 02115
(42.3438499996779, -71.08983000035408)",42.3438499997,-71.0898300004
Hyde Park EC,2136,Community Leadership Academy,HS,"655 Metropolitan Ave
Hyde Park, MA 02136
(42.263092711554975, -71.11734932567094)",42.2630927116,-71.1173493257
Fifield Building,2124,ECC at Fifield,ELC,"25 Dunbar Ave.
Dorchester, MA 02124
(42.286574009740036, -71.0730127496264)",42.2865740097,-71.0730127496
